service_code,rate_zone_code,from_weight_grams,to_weight_grams,price_minor,additional_step_grams,additional_price_minor,source_sheet,source_cell
DEMO_EXPRESS,21,16001,17001,6024780,,,Domestic Standard,L53
DEMO_EXPRESS,20,16001,17001,10411650,,,Domestic Standard,M53
DEMO_EXPRESS,23,17001,18001,4923720,,,Domestic Standard,J54
DEMO_EXPRESS,22,17001,18001,5926230,,,Domestic Standard,K54
DEMO_EXPRESS,21,17001,18001,6296580,,,Domestic Standard,L54
DEMO_EXPRESS,20,17001,18001,10914120,,,Domestic Standard,M54
DEMO_EXPRESS,23,18001,19001,5178960,,,Domestic Standard,J55
DEMO_EXPRESS,22,18001,19001,6196680,,,Domestic Standard,K55
DEMO_EXPRESS,21,18001,19001,6571080,,,Domestic Standard,L55
DEMO_EXPRESS,20,18001,19001,11415600,,,Domestic Standard,M55
DEMO_EXPRESS,23,19001,20001,5434290,,,Domestic Standard,J56
DEMO_EXPRESS,22,19001,20001,6466590,,,Domestic Standard,K56
DEMO_EXPRESS,21,19001,20001,6842790,,,Domestic Standard,L56
DEMO_EXPRESS,20,19001,20001,11917800,,,Domestic Standard,M56
DEMO_EXPRESS,23,20001,21001,6322600,,,Domestic Standard,J57
DEMO_EXPRESS,22,20001,21001,6736770,,,Domestic Standard,K57
DEMO_EXPRESS,21,20001,21001,7109100,,,Domestic Standard,L57
DEMO_EXPRESS,20,20001,21001,12419820,,,Domestic Standard,M57
DEMO_EXPRESS,23,21001,22001,6607100,,,Domestic Standard,J58
DEMO_EXPRESS,22,21001,22001,7007220,,,Domestic Standard,K58
DEMO_EXPRESS,21,21001,22001,7375410,,,Domestic Standard,L58
DEMO_EXPRESS,20,21001,22001,12921390,,,Domestic Standard,M58
DEMO_EXPRESS,23,22001,23001,6889200,,,Domestic Standard,J59
DEMO_EXPRESS,22,22001,23001,7277760,,,Domestic Standard,K59
DEMO_EXPRESS,21,22001,23001,7642800,,,Domestic Standard,L59
DEMO_EXPRESS,20,22001,23001,13423590,,,Domestic Standard,M59
DEMO_EXPRESS,23,23001,24001,7174300,,,Domestic Standard,J60
DEMO_EXPRESS,22,23001,24001,7548120,,,Domestic Standard,K60
DEMO_EXPRESS,21,23001,24001,7908210,,,Domestic Standard,L60
DEMO_EXPRESS,20,23001,24001,13924980,,,Domestic Standard,M60
DEMO_EXPRESS,23,24001,25001,7457500,,,Domestic Standard,J61
DEMO_EXPRESS,22,24001,25001,7817490,,,Domestic Standard,K61
DEMO_EXPRESS,21,24001,25001,8175960,,,Domestic Standard,L61
DEMO_EXPRESS,20,24001,25001,14427000,,,Domestic Standard,M61
DEMO_EXPRESS,23,25001,26001,7742000,,,Domestic Standard,J62
DEMO_EXPRESS,22,25001,26001,8088120,,,Domestic Standard,K62
DEMO_EXPRESS,21,25001,26001,8443800,,,Domestic Standard,L62
DEMO_EXPRESS,20,25001,26001,14929650,,,Domestic Standard,M62
DEMO_EXPRESS,23,26001,27001,8025700,,,Domestic Standard,J63
DEMO_EXPRESS,22,26001,27001,8358390,,,Domestic Standard,K63
DEMO_EXPRESS,21,26001,27001,8710920,,,Domestic Standard,L63
DEMO_EXPRESS,20,26001,27001,15430590,,,Domestic Standard,M63
DEMO_EXPRESS,23,27001,28001,8310100,,,Domestic Standard,J64
DEMO_EXPRESS,22,27001,28001,8628750,,,Domestic Standard,K64
DEMO_EXPRESS,21,27001,28001,8976420,,,Domestic Standard,L64
DEMO_EXPRESS,20,27001,28001,15932790,,,Domestic Standard,M64
DEMO_EXPRESS,23,28001,29001,8593300,,,Domestic Standard,J65
